filename,model,participant_id,score
baseline_markov_0.mid,Markov Baseline,P01,4.0
baseline_markov_0.mid,Markov Baseline,P02,4.0
baseline_markov_0.mid,Markov Baseline,P03,4.0
baseline_markov_0.mid,Markov Baseline,P04,4.5
baseline_markov_0.mid,Markov Baseline,P05,3.5
baseline_markov_0.mid,Markov Baseline,P06,3.0
baseline_markov_0.mid,Markov Baseline,P07,4.0
baseline_markov_0.mid,Markov Baseline,P08,3.0
baseline_markov_0.mid,Markov Baseline,P09,4.0
baseline_markov_0.mid,Markov Baseline,P10,3.5
baseline_markov_1.mid,Markov Baseline,P01,3.5
baseline_markov_1.mid,Markov Baseline,P02,3.0
baseline_markov_1.mid,Markov Baseline,P03,4.0
baseline_markov_1.mid,Markov Baseline,P04,3.5
baseline_markov_1.mid,Markov Baseline,P05,3.0
baseline_markov_1.mid,Markov Baseline,P06,3.0
baseline_markov_1.mid,Markov Baseline,P07,3.5
baseline_markov_1.mid,Markov Baseline,P08,3.5
baseline_markov_1.mid,Markov Baseline,P09,3.5
baseline_markov_1.mid,Markov Baseline,P10,3.5
baseline_markov_2.mid,Markov Baseline,P01,5.0
baseline_markov_2.mid,Markov Baseline,P02,3.5
baseline_markov_2.mid,Markov Baseline,P03,4.0
baseline_markov_2.mid,Markov Baseline,P04,3.5
baseline_markov_2.mid,Markov Baseline,P05,4.0
baseline_markov_2.mid,Markov Baseline,P06,4.0
baseline_markov_2.mid,Markov Baseline,P07,4.0
baseline_markov_2.mid,Markov Baseline,P08,3.5
baseline_markov_2.mid,Markov Baseline,P09,3.5
baseline_markov_2.mid,Markov Baseline,P10,4.0
baseline_markov_3.mid,Markov Baseline,P01,4.0
baseline_markov_3.mid,Markov Baseline,P02,4.0
baseline_markov_3.mid,Markov Baseline,P03,3.5
baseline_markov_3.mid,Markov Baseline,P04,4.0
baseline_markov_3.mid,Markov Baseline,P05,3.5
baseline_markov_3.mid,Markov Baseline,P06,3.5
baseline_markov_3.mid,Markov Baseline,P07,4.0
baseline_markov_3.mid,Markov Baseline,P08,4.0
baseline_markov_3.mid,Markov Baseline,P09,4.0
baseline_markov_3.mid,Markov Baseline,P10,4.0
baseline_markov_4.mid,Markov Baseline,P01,4.0
baseline_markov_4.mid,Markov Baseline,P02,4.0
baseline_markov_4.mid,Markov Baseline,P03,3.5
baseline_markov_4.mid,Markov Baseline,P04,4.0
baseline_markov_4.mid,Markov Baseline,P05,3.5
baseline_markov_4.mid,Markov Baseline,P06,3.5
baseline_markov_4.mid,Markov Baseline,P07,4.0
baseline_markov_4.mid,Markov Baseline,P08,4.5
baseline_markov_4.mid,Markov Baseline,P09,3.5
baseline_markov_4.mid,Markov Baseline,P10,4.0
baseline_random_0.mid,Random Baseline,P01,2.5
baseline_random_0.mid,Random Baseline,P02,3.0
baseline_random_0.mid,Random Baseline,P03,3.5
baseline_random_0.mid,Random Baseline,P04,3.5
baseline_random_0.mid,Random Baseline,P05,3.0
baseline_random_0.mid,Random Baseline,P06,3.5
baseline_random_0.mid,Random Baseline,P07,3.0
baseline_random_0.mid,Random Baseline,P08,3.0
baseline_random_0.mid,Random Baseline,P09,3.5
baseline_random_0.mid,Random Baseline,P10,3.0
baseline_random_1.mid,Random Baseline,P01,3.0
baseline_random_1.mid,Random Baseline,P02,2.5
baseline_random_1.mid,Random Baseline,P03,3.0
baseline_random_1.mid,Random Baseline,P04,3.5
baseline_random_1.mid,Random Baseline,P05,3.0
baseline_random_1.mid,Random Baseline,P06,3.5
baseline_random_1.mid,Random Baseline,P07,3.0
baseline_random_1.mid,Random Baseline,P08,3.5
baseline_random_1.mid,Random Baseline,P09,3.5
baseline_random_1.mid,Random Baseline,P10,3.0
baseline_random_2.mid,Random Baseline,P01,3.5
baseline_random_2.mid,Random Baseline,P02,3.0
baseline_random_2.mid,Random Baseline,P03,3.0
baseline_random_2.mid,Random Baseline,P04,3.0
baseline_random_2.mid,Random Baseline,P05,2.5
baseline_random_2.mid,Random Baseline,P06,3.0
baseline_random_2.mid,Random Baseline,P07,3.0
baseline_random_2.mid,Random Baseline,P08,3.0
baseline_random_2.mid,Random Baseline,P09,3.5
baseline_random_2.mid,Random Baseline,P10,3.5
baseline_random_3.mid,Random Baseline,P01,3.5
baseline_random_3.mid,Random Baseline,P02,3.0
baseline_random_3.mid,Random Baseline,P03,3.0
baseline_random_3.mid,Random Baseline,P04,3.5
baseline_random_3.mid,Random Baseline,P05,2.5
baseline_random_3.mid,Random Baseline,P06,2.5
baseline_random_3.mid,Random Baseline,P07,3.0
baseline_random_3.mid,Random Baseline,P08,3.0
baseline_random_3.mid,Random Baseline,P09,3.5
baseline_random_3.mid,Random Baseline,P10,3.0
baseline_random_4.mid,Random Baseline,P01,3.0
baseline_random_4.mid,Random Baseline,P02,3.5
baseline_random_4.mid,Random Baseline,P03,3.0
baseline_random_4.mid,Random Baseline,P04,3.5
baseline_random_4.mid,Random Baseline,P05,2.5
baseline_random_4.mid,Random Baseline,P06,3.0
baseline_random_4.mid,Random Baseline,P07,3.0
baseline_random_4.mid,Random Baseline,P08,3.0
baseline_random_4.mid,Random Baseline,P09,3.5
baseline_random_4.mid,Random Baseline,P10,2.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P01,4.0
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P02,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P03,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P04,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P05,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P06,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P07,4.0
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P08,3.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P09,4.5
task1_sample_0.mid,Task 1 — LSTM Autoencoder,P10,3.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P01,3.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P02,4.0
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P03,4.0
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P04,4.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P05,4.0
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P06,4.0
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P07,4.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P08,3.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P09,3.5
task1_sample_1.mid,Task 1 — LSTM Autoencoder,P10,3.5
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P01,3.5
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P02,3.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P03,4.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P04,4.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P05,3.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P06,3.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P07,4.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P08,4.0
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P09,4.5
task1_sample_2.mid,Task 1 — LSTM Autoencoder,P10,5.0
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P01,4.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P02,3.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P03,3.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P04,4.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P05,3.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P06,3.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P07,4.0
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P08,4.0
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P09,4.5
task1_sample_3.mid,Task 1 — LSTM Autoencoder,P10,4.0
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P01,4.0
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P02,3.5
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P03,3.5
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P04,4.0
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P05,3.5
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P06,4.5
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P07,4.0
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P08,4.5
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P09,4.0
task1_sample_4.mid,Task 1 — LSTM Autoencoder,P10,3.5
task2_interp_0.mid,Task 2 — VAE (Interpolation),P01,3.0
task2_interp_0.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_0.mid,Task 2 — VAE (Interpolation),P03,4.0
task2_interp_0.mid,Task 2 — VAE (Interpolation),P04,3.0
task2_interp_0.mid,Task 2 — VAE (Interpolation),P05,3.5
task2_interp_0.mid,Task 2 — VAE (Interpolation),P06,2.5
task2_interp_0.mid,Task 2 — VAE (Interpolation),P07,3.5
task2_interp_0.mid,Task 2 — VAE (Interpolation),P08,3.5
task2_interp_0.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_0.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P01,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P03,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P04,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P05,2.5
task2_interp_1.mid,Task 2 — VAE (Interpolation),P06,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P07,4.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P08,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_1.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P01,4.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P03,3.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P04,4.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P05,3.0
task2_interp_2.mid,Task 2 — VAE (Interpolation),P06,3.5
task2_interp_2.mid,Task 2 — VAE (Interpolation),P07,3.5
task2_interp_2.mid,Task 2 — VAE (Interpolation),P08,2.5
task2_interp_2.mid,Task 2 — VAE (Interpolation),P09,2.5
task2_interp_2.mid,Task 2 — VAE (Interpolation),P10,4.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P01,4.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P03,3.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P04,4.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P05,2.5
task2_interp_3.mid,Task 2 — VAE (Interpolation),P06,2.5
task2_interp_3.mid,Task 2 — VAE (Interpolation),P07,3.5
task2_interp_3.mid,Task 2 — VAE (Interpolation),P08,3.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_3.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_4.mid,Task 2 — VAE (Interpolation),P01,3.5
task2_interp_4.mid,Task 2 — VAE (Interpolation),P02,3.5
task2_interp_4.mid,Task 2 — VAE (Interpolation),P03,3.5
task2_interp_4.mid,Task 2 — VAE (Interpolation),P04,3.5
task2_interp_4.mid,Task 2 — VAE (Interpolation),P05,2.0
task2_interp_4.mid,Task 2 — VAE (Interpolation),P06,3.0
task2_interp_4.mid,Task 2 — VAE (Interpolation),P07,3.0
task2_interp_4.mid,Task 2 — VAE (Interpolation),P08,2.5
task2_interp_4.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_4.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_5.mid,Task 2 — VAE (Interpolation),P01,3.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P02,2.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P03,3.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P04,3.0
task2_interp_5.mid,Task 2 — VAE (Interpolation),P05,3.0
task2_interp_5.mid,Task 2 — VAE (Interpolation),P06,3.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P07,3.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P08,3.5
task2_interp_5.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_5.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P01,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P03,3.5
task2_interp_6.mid,Task 2 — VAE (Interpolation),P04,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P05,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P06,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P07,4.5
task2_interp_6.mid,Task 2 — VAE (Interpolation),P08,4.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_6.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P01,2.5
task2_interp_7.mid,Task 2 — VAE (Interpolation),P02,3.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P03,3.5
task2_interp_7.mid,Task 2 — VAE (Interpolation),P04,4.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P05,2.5
task2_interp_7.mid,Task 2 — VAE (Interpolation),P06,3.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P07,2.5
task2_interp_7.mid,Task 2 — VAE (Interpolation),P08,3.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P09,3.0
task2_interp_7.mid,Task 2 — VAE (Interpolation),P10,3.0
task2_sample_0.mid,Task 2 — VAE,P01,3.0
task2_sample_0.mid,Task 2 — VAE,P02,3.0
task2_sample_0.mid,Task 2 — VAE,P03,2.5
task2_sample_0.mid,Task 2 — VAE,P04,2.5
task2_sample_0.mid,Task 2 — VAE,P05,3.5
task2_sample_0.mid,Task 2 — VAE,P06,2.5
task2_sample_0.mid,Task 2 — VAE,P07,3.0
task2_sample_0.mid,Task 2 — VAE,P08,4.0
task2_sample_0.mid,Task 2 — VAE,P09,4.5
task2_sample_0.mid,Task 2 — VAE,P10,2.5
task2_sample_1.mid,Task 2 — VAE,P01,3.0
task2_sample_1.mid,Task 2 — VAE,P02,3.5
task2_sample_1.mid,Task 2 — VAE,P03,4.0
task2_sample_1.mid,Task 2 — VAE,P04,3.0
task2_sample_1.mid,Task 2 — VAE,P05,3.0
task2_sample_1.mid,Task 2 — VAE,P06,3.5
task2_sample_1.mid,Task 2 — VAE,P07,3.5
task2_sample_1.mid,Task 2 — VAE,P08,3.0
task2_sample_1.mid,Task 2 — VAE,P09,3.5
task2_sample_1.mid,Task 2 — VAE,P10,2.5
task2_sample_2.mid,Task 2 — VAE,P01,3.0
task2_sample_2.mid,Task 2 — VAE,P02,3.0
task2_sample_2.mid,Task 2 — VAE,P03,3.5
task2_sample_2.mid,Task 2 — VAE,P04,3.0
task2_sample_2.mid,Task 2 — VAE,P05,3.0
task2_sample_2.mid,Task 2 — VAE,P06,3.5
task2_sample_2.mid,Task 2 — VAE,P07,3.5
task2_sample_2.mid,Task 2 — VAE,P08,3.5
task2_sample_2.mid,Task 2 — VAE,P09,3.0
task2_sample_2.mid,Task 2 — VAE,P10,3.0
task2_sample_3.mid,Task 2 — VAE,P01,3.0
task2_sample_3.mid,Task 2 — VAE,P02,3.0
task2_sample_3.mid,Task 2 — VAE,P03,3.0
task2_sample_3.mid,Task 2 — VAE,P04,4.0
task2_sample_3.mid,Task 2 — VAE,P05,3.5
task2_sample_3.mid,Task 2 — VAE,P06,3.0
task2_sample_3.mid,Task 2 — VAE,P07,3.0
task2_sample_3.mid,Task 2 — VAE,P08,2.5
task2_sample_3.mid,Task 2 — VAE,P09,3.5
task2_sample_3.mid,Task 2 — VAE,P10,3.0
task2_sample_4.mid,Task 2 — VAE,P01,3.5
task2_sample_4.mid,Task 2 — VAE,P02,2.5
task2_sample_4.mid,Task 2 — VAE,P03,3.5
task2_sample_4.mid,Task 2 — VAE,P04,3.5
task2_sample_4.mid,Task 2 — VAE,P05,2.5
task2_sample_4.mid,Task 2 — VAE,P06,3.0
task2_sample_4.mid,Task 2 — VAE,P07,3.5
task2_sample_4.mid,Task 2 — VAE,P08,3.0
task2_sample_4.mid,Task 2 — VAE,P09,3.0
task2_sample_4.mid,Task 2 — VAE,P10,3.0
task2_sample_5.mid,Task 2 — VAE,P01,3.0
task2_sample_5.mid,Task 2 — VAE,P02,3.0
task2_sample_5.mid,Task 2 — VAE,P03,4.0
task2_sample_5.mid,Task 2 — VAE,P04,2.5
task2_sample_5.mid,Task 2 — VAE,P05,3.0
task2_sample_5.mid,Task 2 — VAE,P06,3.0
task2_sample_5.mid,Task 2 — VAE,P07,3.5
task2_sample_5.mid,Task 2 — VAE,P08,3.0
task2_sample_5.mid,Task 2 — VAE,P09,2.5
task2_sample_5.mid,Task 2 — VAE,P10,3.0
task2_sample_6.mid,Task 2 — VAE,P01,4.0
task2_sample_6.mid,Task 2 — VAE,P02,2.5
task2_sample_6.mid,Task 2 — VAE,P03,3.5
task2_sample_6.mid,Task 2 — VAE,P04,3.5
task2_sample_6.mid,Task 2 — VAE,P05,3.0
task2_sample_6.mid,Task 2 — VAE,P06,2.5
task2_sample_6.mid,Task 2 — VAE,P07,3.0
task2_sample_6.mid,Task 2 — VAE,P08,3.5
task2_sample_6.mid,Task 2 — VAE,P09,3.5
task2_sample_6.mid,Task 2 — VAE,P10,4.0
task2_sample_7.mid,Task 2 — VAE,P01,3.5
task2_sample_7.mid,Task 2 — VAE,P02,3.0
task2_sample_7.mid,Task 2 — VAE,P03,4.0
task2_sample_7.mid,Task 2 — VAE,P04,3.5
task2_sample_7.mid,Task 2 — VAE,P05,3.5
task2_sample_7.mid,Task 2 — VAE,P06,3.0
task2_sample_7.mid,Task 2 — VAE,P07,3.5
task2_sample_7.mid,Task 2 — VAE,P08,3.0
task2_sample_7.mid,Task 2 — VAE,P09,3.5
task2_sample_7.mid,Task 2 — VAE,P10,2.5
task3_sample_0.mid,Task 3 — Transformer,P01,2.5
task3_sample_0.mid,Task 3 — Transformer,P02,2.0
task3_sample_0.mid,Task 3 — Transformer,P03,3.0
task3_sample_0.mid,Task 3 — Transformer,P04,3.0
task3_sample_0.mid,Task 3 — Transformer,P05,3.0
task3_sample_0.mid,Task 3 — Transformer,P06,2.5
task3_sample_0.mid,Task 3 — Transformer,P07,1.5
task3_sample_0.mid,Task 3 — Transformer,P08,2.5
task3_sample_0.mid,Task 3 — Transformer,P09,2.0
task3_sample_0.mid,Task 3 — Transformer,P10,2.0
task3_sample_1.mid,Task 3 — Transformer,P01,4.5
task3_sample_1.mid,Task 3 — Transformer,P02,3.5
task3_sample_1.mid,Task 3 — Transformer,P03,3.5
task3_sample_1.mid,Task 3 — Transformer,P04,3.5
task3_sample_1.mid,Task 3 — Transformer,P05,3.5
task3_sample_1.mid,Task 3 — Transformer,P06,3.0
task3_sample_1.mid,Task 3 — Transformer,P07,3.5
task3_sample_1.mid,Task 3 — Transformer,P08,3.5
task3_sample_1.mid,Task 3 — Transformer,P09,4.0
task3_sample_1.mid,Task 3 — Transformer,P10,3.5
task3_sample_2.mid,Task 3 — Transformer,P01,3.0
task3_sample_2.mid,Task 3 — Transformer,P02,3.5
task3_sample_2.mid,Task 3 — Transformer,P03,4.0
task3_sample_2.mid,Task 3 — Transformer,P04,4.0
task3_sample_2.mid,Task 3 — Transformer,P05,4.0
task3_sample_2.mid,Task 3 — Transformer,P06,2.5
task3_sample_2.mid,Task 3 — Transformer,P07,3.5
task3_sample_2.mid,Task 3 — Transformer,P08,4.0
task3_sample_2.mid,Task 3 — Transformer,P09,3.0
task3_sample_2.mid,Task 3 — Transformer,P10,4.0
task3_sample_3.mid,Task 3 — Transformer,P01,3.0
task3_sample_3.mid,Task 3 — Transformer,P02,3.0
task3_sample_3.mid,Task 3 — Transformer,P03,3.0
task3_sample_3.mid,Task 3 — Transformer,P04,3.5
task3_sample_3.mid,Task 3 — Transformer,P05,3.0
task3_sample_3.mid,Task 3 — Transformer,P06,3.0
task3_sample_3.mid,Task 3 — Transformer,P07,3.0
task3_sample_3.mid,Task 3 — Transformer,P08,3.0
task3_sample_3.mid,Task 3 — Transformer,P09,2.5
task3_sample_3.mid,Task 3 — Transformer,P10,3.0
task3_sample_4.mid,Task 3 — Transformer,P01,3.0
task3_sample_4.mid,Task 3 — Transformer,P02,3.0
task3_sample_4.mid,Task 3 — Transformer,P03,3.5
task3_sample_4.mid,Task 3 — Transformer,P04,2.5
task3_sample_4.mid,Task 3 — Transformer,P05,2.5
task3_sample_4.mid,Task 3 — Transformer,P06,3.5
task3_sample_4.mid,Task 3 — Transformer,P07,2.5
task3_sample_4.mid,Task 3 — Transformer,P08,2.5
task3_sample_4.mid,Task 3 — Transformer,P09,3.0
task3_sample_4.mid,Task 3 — Transformer,P10,3.0
task3_sample_5.mid,Task 3 — Transformer,P01,4.0
task3_sample_5.mid,Task 3 — Transformer,P02,4.0
task3_sample_5.mid,Task 3 — Transformer,P03,4.5
task3_sample_5.mid,Task 3 — Transformer,P04,4.5
task3_sample_5.mid,Task 3 — Transformer,P05,3.5
task3_sample_5.mid,Task 3 — Transformer,P06,4.5
task3_sample_5.mid,Task 3 — Transformer,P07,3.5
task3_sample_5.mid,Task 3 — Transformer,P08,3.0
task3_sample_5.mid,Task 3 — Transformer,P09,4.5
task3_sample_5.mid,Task 3 — Transformer,P10,3.5
task3_sample_6.mid,Task 3 — Transformer,P01,3.0
task3_sample_6.mid,Task 3 — Transformer,P02,3.5
task3_sample_6.mid,Task 3 — Transformer,P03,2.5
task3_sample_6.mid,Task 3 — Transformer,P04,2.5
task3_sample_6.mid,Task 3 — Transformer,P05,2.0
task3_sample_6.mid,Task 3 — Transformer,P06,2.5
task3_sample_6.mid,Task 3 — Transformer,P07,3.5
task3_sample_6.mid,Task 3 — Transformer,P08,3.0
task3_sample_6.mid,Task 3 — Transformer,P09,3.0
task3_sample_6.mid,Task 3 — Transformer,P10,2.5
task3_sample_7.mid,Task 3 — Transformer,P01,2.5
task3_sample_7.mid,Task 3 — Transformer,P02,3.0
task3_sample_7.mid,Task 3 — Transformer,P03,3.0
task3_sample_7.mid,Task 3 — Transformer,P04,3.5
task3_sample_7.mid,Task 3 — Transformer,P05,3.0
task3_sample_7.mid,Task 3 — Transformer,P06,3.0
task3_sample_7.mid,Task 3 — Transformer,P07,3.5
task3_sample_7.mid,Task 3 — Transformer,P08,3.0
task3_sample_7.mid,Task 3 — Transformer,P09,3.5
task3_sample_7.mid,Task 3 — Transformer,P10,3.0
task3_sample_8.mid,Task 3 — Transformer,P01,3.5
task3_sample_8.mid,Task 3 — Transformer,P02,3.5
task3_sample_8.mid,Task 3 — Transformer,P03,4.0
task3_sample_8.mid,Task 3 — Transformer,P04,3.5
task3_sample_8.mid,Task 3 — Transformer,P05,3.5
task3_sample_8.mid,Task 3 — Transformer,P06,3.0
task3_sample_8.mid,Task 3 — Transformer,P07,3.5
task3_sample_8.mid,Task 3 — Transformer,P08,3.5
task3_sample_8.mid,Task 3 — Transformer,P09,2.5
task3_sample_8.mid,Task 3 — Transformer,P10,3.0
task3_sample_9.mid,Task 3 — Transformer,P01,3.0
task3_sample_9.mid,Task 3 — Transformer,P02,2.5
task3_sample_9.mid,Task 3 — Transformer,P03,3.5
task3_sample_9.mid,Task 3 — Transformer,P04,4.0
task3_sample_9.mid,Task 3 — Transformer,P05,3.0
task3_sample_9.mid,Task 3 — Transformer,P06,3.5
task3_sample_9.mid,Task 3 — Transformer,P07,4.0
task3_sample_9.mid,Task 3 — Transformer,P08,4.0
task3_sample_9.mid,Task 3 — Transformer,P09,3.5
task3_sample_9.mid,Task 3 — Transformer,P10,4.0